chrom1,start1,end1,chrom2,start2,end2,pet_count,label
3,85806159,85809020,3,16265442,16269759,0,0
6,18225076,18227494,6,131100242,131101742,0,0
16,67913944,67918156,16,51932434,51935399,0,0
16,22822481,22831150,16,22890645,22894883,3,1
4,158828540,158832454,4,158846089,158849875,3,1
19,50876935,50878572,19,50911482,50913516,3,1
22,26977622,26981725,22,37064107,37065607,0,0
3,51156839,51158339,3,173985308,173988545,0,0
22,17860476,17861976,22,30201163,30202663,0,0
11,15502025,15504838,11,24399931,24401431,0,0
20,5525429,5526929,20,5944557,5948746,3,1
22,48156448,48159305,22,20590259,20592709,0,0
16,16132224,16135184,16,16162254,16166835,3,1
17,43807128,43809177,17,30141095,30146893,0,0
16,67192339,67198313,16,67274873,67279710,4,1
11,86162494,86164987,11,62040270,62042960,0,0
19,45790271,45792699,19,1140852,1142913,0,0
17,68178352,68179852,17,68181432,68189900,3,1
19,39112646,39114146,19,39119037,39120537,3,1
16,56917695,56922663,16,56946896,56954056,7,1
22,26491007,26495053,22,26511834,26515921,3,1
19,43538385,43541914,19,43581940,43587183,6,1
14,21763787,21770622,14,21774029,21776204,4,1
1,158943671,158946496,1,158958747,158964191,4,1
9,108693075,108697353,9,108753160,108757580,4,1
18,53308569,53312245,18,53312899,53314971,3,1
6,7638916,7641996,6,7642800,7647042,7,1
X,12236537,12238037,X,12249680,12256050,3,1
X,69198845,69200345,X,69218484,69225891,3,1
11,35253327,35256017,11,35277902,35281589,3,1
5,60198600,60200100,5,95815435,95816935,0,0
3,101735614,101739467,3,22918762,22920262,0,0
17,61567056,61570159,17,61600626,61602126,4,1
20,63775631,63780965,20,63783227,63784727,11,1
5,77626388,77632035,5,77633986,77637491,4,1
2,69487421,69488921,2,57506216,57507727,0,0
X,38676546,38678093,X,38680537,38683972,7,1
16,46734021,46738025,16,46927438,46933757,3,1
7,91927187,91930365,7,4925438,4926938,0,0
8,130432262,130434928,8,130437078,130438835,5,1
16,52251296,52254910,16,61976902,61979462,0,0
1,210040589,210044036,1,38173966,38181178,0,0
5,148177117,148180127,5,148374170,148375803,4,1
19,11007829,11016809,19,11029953,11031929,6,1
18,6828554,6830054,18,37363727,37368389,0,0
X,110963895,110968648,X,111113852,111121070,3,1
9,72046427,72050369,9,72052100,72054599,7,1
6,91627678,91629178,6,137930279,137931779,0,0
11,49683024,49684524,11,17435500,17440170,0,0
16,83843885,83845385,16,41244,45503,0,0
2,176363477,176365569,2,6513117,6518507,0,0
3,146925223,146926723,3,146927447,146932024,3,1
14,100292940,100299246,14,100382631,100386335,4,1
12,9912981,9915715,12,9938035,9943841,3,1
16,56091924,56096251,16,56286625,56292656,3,1
21,18400906,18402406,21,45576567,45578549,0,0
X,75361951,75364687,X,75368311,75373730,3,1
3,72771794,72773294,3,39026543,39029047,0,0
21,25382170,25383670,21,34150358,34153354,0,0
21,29050189,29053576,21,44821452,44823553,0,0
5,12013225,12018926,5,146000578,146007329,0,0
18,31719644,31725967,18,31984540,31987604,3,1
20,33281556,33284536,20,33302101,33303601,3,1
12,77722767,77725357,12,77925019,77926577,5,1
20,38719734,38724615,20,9141664,9143540,0,0
14,80506126,80507884,14,74595062,74596562,0,0
1,157581853,157585692,1,86792834,86795806,0,0
X,84189234,84191209,X,14702710,14704210,0,0
6,37869966,37872252,6,121322837,121324337,0,0
8,13872953,13875880,8,42127727,42129227,0,0
8,133473076,133477247,8,133478483,133479983,6,1
14,92127043,92132278,14,92757068,92760601,3,1
5,20464419,20467505,5,20486399,20489903,3,1
11,129157703,129159203,11,20801929,20805360,0,0
18,50012330,50016563,18,50023404,50026219,6,1
22,44682260,44685333,22,44694692,44700100,5,1
5,108288679,108294557,5,59578454,59580612,0,0
14,94804781,94806281,14,90978427,90980353,0,0
5,110272497,110278239,5,120195548,120203494,0,0
6,31258551,31262719,6,31396398,31397898,3,1
9,100580493,100581993,9,100586876,100590694,4,1
X,50310640,50314240,X,50331855,50334283,3,1
18,59888221,59889721,18,43548783,43553783,0,0
21,20557130,20558630,21,34959149,34960919,0,0
14,71356393,71360723,14,71415237,71419314,4,1
6,45534273,45543503,6,45551562,45553946,5,1
19,5105594,5107094,19,40936001,40941286,0,0
3,139451209,139452709,3,139458327,139460841,3,1
17,10465528,10470492,17,51428962,51433229,0,0
X,131997270,131999280,X,145640068,145641568,0,0
4,145202995,145213385,4,10599008,10600508,0,0
22,20214782,20217678,22,32058454,32061264,0,0
21,25606910,25609476,21,25782801,25785915,3,1
13,39595122,39597782,13,39600297,39603393,3,1
2,112916576,112921418,2,112956700,112961599,7,1
18,32552950,32555222,18,44434259,44437694,0,0
2,27052723,27056055,2,161276706,161281976,0,0
8,133980939,133982439,8,105471227,105472727,0,0
17,4968243,4969902,17,37738757,37740257,0,0
21,39674085,39679919,21,39761722,39766427,3,1
9,74177756,74181348,9,74260214,74265299,3,1
22,22746349,22751163,22,22758799,22764311,7,1
1,65664212,65665960,1,38130955,38133676,0,0
8,2042944,2044823,8,67724418,67726303,0,0
5,173292038,173295500,5,173337157,173339657,4,1
X,39916261,39921588,X,26473466,26474966,0,0
2,241301330,241304997,2,241333411,241336658,3,1
8,53586942,53589425,8,53591127,53592627,3,1
17,81811482,81818523,17,81862883,81865332,5,1
8,8342533,8344033,8,127970615,127975298,0,0
22,24722671,24727846,22,24801533,24804600,3,1
1,152763072,152768676,1,153301563,153308665,3,1
1,209350579,209357379,1,209375857,209377357,4,1
18,46641460,46642960,18,79969909,79971409,0,0
8,130449933,130453998,8,71563457,71566746,0,0
9,108399746,108401813,9,82717417,82718917,0,0
21,16491073,16496608,21,16503302,16504802,3,1
2,99323088,99329332,2,99369646,99373923,3,1
19,40387712,40390359,19,40406331,40407831,3,1
18,12939588,12941486,18,70865604,70867104,0,0
X,111113852,111121070,X,111136008,111137508,3,1
18,6175718,6180489,18,21573277,21574777,0,0
21,34184067,34185567,21,25976583,25978083,0,0
20,54211003,54213218,20,19326000,19330192,0,0
2,20542324,20547736,2,60427784,60429284,0,0
8,56531192,56535851,8,56537630,56539130,3,1
9,19012284,19015468,9,108433139,108437239,0,0
9,95725294,95727911,9,11325320,11330577,0,0
8,144806310,144813431,8,144822022,144827799,13,1
16,52341452,52343723,16,52358072,52360980,3,1
20,55467624,55474566,20,58975654,58977154,0,0
4,184792994,184795162,4,184801852,184804965,3,1
14,22276757,22279093,14,22293549,22297676,4,1
4,107517817,107522510,4,107536581,107539456,3,1
3,88314740,88316240,3,23269618,23272883,0,0
2,188505132,188506632,2,188512563,188516306,3,1
20,13081571,13085918,20,32217555,32219205,0,0
4,108429430,108435907,4,108441508,108444649,4,1
7,76387267,76388767,7,33918779,33920279,0,0
2,118221358,118222858,2,208941309,208945506,0,0
18,34152848,34154348,18,30876403,30878936,0,0
5,95986434,95990471,5,114004048,114006366,0,0
11,73486403,73488465,11,26770564,26776690,0,0
3,127572171,127578842,3,128178763,128184203,3,1
14,64769689,64775267,14,64889334,64892331,4,1
9,3671670,3673170,9,81992920,81994493,0,0
18,25859998,25866905,18,49579307,49584293,0,0
7,17434474,17435974,7,110515345,110516845,0,0
12,21968633,21970133,12,21971571,21975204,3,1
2,234168452,234170591,2,234171187,234172728,4,1
12,123888987,123893785,12,123912339,123918655,11,1
20,43829833,43835241,20,43859292,43870317,5,1
1,64279158,64288772,1,64497062,64501377,3,1
5,9516218,9519335,5,9519872,9524953,6,1
13,103709063,103716266,13,48678900,48680400,0,0
22,22659295,22664668,22,22719584,22723347,11,1
